city,labor_type,n_shops,mean_min,median_min,std_min,p75_min,p85_min,p90_min
1,2.0,0,63.00369575481915,54.0,42.12653873102241,75.08333333333333,93.0,107.45666666666668
1,3.0,28,58.613183432539685,57.0,38.01451457412215,78.0,91.0,104.075
1,4.0,7,42.51396835443038,43.0,34.91070747106676,59.7,70.01,75.45000000000002
1,5.0,5,118.15384615384616,76.0,107.80216923748655,218.0,231.79999999999998,255.20000000000002
1,6.0,19,409.660752688172,208.0,463.74390380152136,486.0,1174.2,1251.8
1,7.0,1,0.0,0.0,,0.0,0.0,0.0
1,8.0,3,97.42857142857143,66.0,76.26239165507715,139.5,174.39999999999998,190.60000000000002
1,9.0,3,29.571428571428573,1.0,37.6955220278534,60.0,67.1,73.4
1,10.0,1,119.5,119.5,7.7781745930520225,122.25,123.35,123.9
1,11.0,0,42.0,42.0,45.881835808333314,60.0,110.99999999999987,120.0
1,12.0,0,106.7362680845839,101.0,53.747019263629326,128.0,144.0,157.0
1,13.0,4,166.44761904761904,182.0,73.41480842758563,219.3125,226.5975,234.365
1,14.0,3,95.62166666666667,84.95833333333334,61.091495361920515,124.025,146.95416666666665,160.78666666666663
1,16.0,5,4.0287037037037035,0.0,13.859194765261297,1.0,1.0,6.0
1,21.0,6,151.75,37.0,314.06372399128287,120.75,186.34999999999994,285.9000000000001
1,25.0,4,162.5090909090909,132.0,140.33506656958875,233.5,272.5,308.0
1,27.0,0,202.0,202.0,,202.0,202.0,202.0
1,30.0,1,1349.0,1349.0,,1349.0,1349.0,1349.0
1,31.0,1,176.83333333333334,117.5,160.29524842198742,318.75,376.0,376.0
1,35.0,1,60.0,60.0,,60.0,60.0,60.0
1,67.0,1,193.87777777777777,245.58333333333334,90.82978025670592,246.31666666666666,246.61,246.7566666666667
1,69.0,2,81.22999999999999,65.0,69.84564768115476,99.0,135.79999999999998,154.20000000000002
1,71.0,1,0.0,0.0,,0.0,0.0,0.0
1,77.0,1,454.0,454.0,,454.0,454.0,454.0
1,79.0,2,214.0,214.0,98.99494936611666,249.0,263.0,270.0
1,80.0,1,120.5,120.5,170.41273426595797,180.75,204.85,216.9
1,81.0,1,246.0,246.0,,246.0,246.0,246.0
1,84.0,4,207.0611111111111,90.0,387.53789635480956,137.0,156.2,374.6000000000002
1,85.0,5,62.94444444444445,49.43333333333333,71.31550452170401,104.71666666666667,124.2,139.4
1,86.0,1,618.6666666666666,325.0,583.8067602668997,808.0,1001.1999999999999,1097.8
1,123.0,1,803.7666666666667,803.7666666666667,640.3087605904583,1030.15,1120.7033333333334,1165.98
1,125.0,1,442.0,442.0,,442.0,442.0,442.0
1,129.0,2,0.0,0.0,0.0,0.0,0.0,0.0
1,162.0,2,0.3333333333333333,0.0,0.5773502691896258,0.5,0.7,0.8
1,164.0,1,7.0,7.0,,7.0,7.0,7.0
1,166.0,1,48.0,48.0,,48.0,48.0,48.0
1,173.0,3,313.7888888888889,332.3666666666667,86.01802352048303,360.68333333333334,372.01,377.67333333333335
1,194.0,1,37.55,37.55,,37.55,37.55,37.55
1,195.0,2,205.66666666666666,0.5,473.0913935664722,47.5,339.75,616.5
1,755.0,0,57.20333333333333,32.5,70.60672588883259,94.5,133.34999999999997,152.1
1004,2.0,0,64.93757343427392,55.0,43.57712542652538,83.46666666666667,103.0,117.98333333333333
1004,3.0,13,54.90193765796125,56.0,34.77909553478869,74.0,84.0,92.73
1004,4.0,4,80.14222222222223,46.5,219.63033056062892,59.75,65.5275,89.63166666666669
1004,5.0,3,183.0,159.0,141.6202164745052,238.75,338.85,369.7
1004,6.0,14,478.76762820512823,219.5,546.3987231164073,1191.5,1270.6,1369.495
1004,7.0,1,338.0,338.0,,338.0,338.0,338.0
1004,8.0,2,99.36666666666667,99.36666666666667,53.22157039730748,118.18333333333334,125.71,129.47333333333333
1004,9.0,1,0.0,0.0,,0.0,0.0,0.0
1004,10.0,2,251.0,251.0,15.556349186104045,256.5,258.7,259.8
1004,11.0,0,37.5,0.0,63.63961030678928,60.0,60.0,95.99999999999997
1004,12.0,0,95.21665564061368,87.0,51.44023466827541,120.0,141.0,155.0
1004,13.0,3,76.5,66.0,82.34500592021352,148.0,159.75,163.5
1004,14.0,3,90.53888888888889,72.0,50.43891097893313,74.94999999999999,104.94999999999999,134.3
1004,16.0,2,18.009629629629632,0.0,51.92048899894926,12.0,37.399999999999984,49.20000000000001
1004,21.0,3,686.5,653.0,794.5873142707477,1339.5,1379.7,1399.8
1004,25.0,1,90.3875,88.69166666666666,40.21500865717047,104.29166666666666,119.04166666666666,126.41666666666667
1004,26.0,1,449.0,449.0,,449.0,449.0,449.0
1004,31.0,1,153.0,153.0,188.09040379562165,219.5,246.1,259.4
1004,32.0,2,39.6779,39.6779,54.195633558617985,58.83895,66.50337,70.33558000000001
1004,67.0,1,106.01666666666667,106.01666666666667,,106.01666666666667,106.01666666666667,106.01666666666667
1004,69.0,2,61.0,61.0,29.698484809834994,71.5,75.7,77.8
1004,70.0,1,48.0,48.0,,48.0,48.0,48.0
1004,71.0,1,258.0,258.0,,258.0,258.0,258.0
1004,79.0,1,0.0,0.0,0.0,0.0,0.0,0.0
1004,80.0,1,0.0,0.0,,0.0,0.0,0.0
1004,81.0,1,425.0,425.0,,425.0,425.0,425.0
1004,84.0,3,79.79166666666667,88.0,68.74281356379491,133.2375,147.5125,151.375
1004,85.0,3,70.33333333333333,71.0,70.00238091188994,105.5,119.3,126.2
1004,123.0,1,495.6666666666667,471.0,58.07179464536405,516.5,534.7,543.8
1004,129.0,1,0.0,0.0,,0.0,0.0,0.0
1004,162.0,1,0.0,0.0,,0.0,0.0,0.0
1004,195.0,1,13.4,8.0,14.724129855444769,26.0,28.4,29.6
1004,244.0,1,121.0,121.0,,121.0,121.0,121.0
1004,359.0,1,106.0,106.0,,106.0,106.0,106.0
126,2.0,0,44.61560238399319,36.0,38.05429557949299,52.0,65.0,73.0
126,3.0,8,66.65772906127037,62.61666666666667,34.6558454196192,83.0,98.0,108.0
126,4.0,3,57.36666666666667,47.333333333333336,38.48137149818015,57.0,67.985,111.5933333333333
126,5.0,1,72.5,72.5,12.020815280171307,76.75,78.45,79.3
126,6.0,12,559.5948123620309,329.0,489.17994671803257,1135.0,1278.5,1346.0
126,8.0,1,81.0,81.0,,81.0,81.0,81.0
126,9.0,2,260.0769230769231,141.0,330.6840036294623,235.0,419.79999999999956,800.2000000000005
126,10.0,1,226.5,226.5,320.319371877506,339.75,385.04999999999995,407.7
126,11.0,0,70.0,0.0,144.08330923462302,45.0,135.0,210.0
126,12.0,0,72.27696825396825,58.0,55.39947627731131,85.25,108.14999999999986,130.0
126,13.0,2,189.5,118.0,169.20845132557653,171.0,272.75,357.5
126,14.0,1,93.35,93.35,6.576093065034895,95.675,96.605,97.07000000000001
126,16.0,2,5.6232456140350875,0.0,18.35539685448918,0.37916666666666665,1.0,9.300000000000047
126,21.0,2,450.0,150.0,665.432190384565,540.0,899.9999999999998,1080.0000000000002
126,25.0,2,342.10833333333335,342.10833333333335,81.87118014838242,371.0541666666667,382.6325,388.4216666666667
126,67.0,1,172.0,172.0,,172.0,172.0,172.0
126,71.0,1,1369.0,1369.0,,1369.0,1369.0,1369.0
126,79.0,1,36.5,36.5,51.61879502661797,54.75,62.05,65.7
126,123.0,1,354.2,339.0,114.20464088643683,340.0,423.59999999999997,465.40000000000003
126,162.0,1,3.0,3.0,,3.0,3.0,3.0
126,195.0,2,21.333333333333332,10.0,28.728615235220325,32.0,40.8,45.2
126,359.0,1,142.0,142.0,,142.0,142.0,142.0
126,755.0,0,0.0,0.0,,0.0,0.0,0.0
149,1.0,0,20.0,0.0,34.64101615137755,30.0,42.0,48.0
149,2.0,0,77.31976892502826,64.86666666666666,55.642557901483315,97.0,123.92333333333333,143.81666666666683
149,3.0,84,48.5702563556313,46.0,45.80546161130582,67.0,79.0,89.0
149,4.0,16,48.31330848839881,41.0,63.69859979562978,66.0,84.0,97.05
149,5.0,29,107.43773946360155,0.0,227.98765092022953,134.5,204.02083333333331,257.70000000000016
149,6.0,66,187.10478077126254,28.0,335.60014324355876,246.0,377.0,461.0
149,7.0,13,53.166666666666664,0.0,235.11657084687255,0.0,41.099999999999994,58.20000000000002
149,8.0,14,46.683928571428574,18.0,63.22204592188029,75.95,107.27499999999999,131.56666666666666
149,9.0,15,81.96426282051281,10.0,191.19184135790036,72.25,118.14999999999996,231.70000000000005
149,10.0,17,171.21517412935322,0.0,361.9160131557412,141.5,361.6,445.99999999999983
149,11.0,0,32.86278306159421,0.0,90.40805263160838,42.0,60.0,86.0
149,12.0,2,108.42400692681119,99.0,60.776886437796485,134.0,158.0,176.0
149,13.0,7,111.72894736842105,86.0,144.52179037486462,120.375,165.67249999999999,187.00000000000006
149,14.0,5,70.92898550724637,69.8,51.29435262824053,89.5,115.68333333333332,141.5666666666667
149,15.0,1,1359.0,1359.0,,1359.0,1359.0,1359.0
149,16.0,14,6.301041666666667,0.0,47.0278453845966,1.0,2.0,7.300000000000011
149,21.0,12,72.75,0.0,131.53559557483214,68.0,225.69999999999996,291.3000000000001
149,22.0,2,7.5,7.5,10.606601717798213,11.25,12.75,13.5
149,25.0,21,111.87668776371308,0.0,278.6145471641906,71.5,228.0791666666665,336.1000000000001
149,27.0,0,128.5,128.5,109.60155108391487,167.25,182.75,190.5
149,30.0,2,252.5,85.0,449.12214374265716,183.25,432.25,672.5
149,31.0,11,180.25,96.0,176.58809490777656,313.5,428.2,437.0
149,32.0,2,89.25,58.5,86.9527786461463,131.25,179.55,202.79999999999998
149,33.0,2,40.0,0.0,69.2820323027551,60.0,84.0,96.0
149,35.0,1,2.0,2.0,,2.0,2.0,2.0
149,67.0,10,68.53484848484848,1.0,100.73563414707324,117.0,136.26499999999996,167.80000000000007
149,69.0,4,59.00535714285714,59.0,47.13580874582369,76.5,79.92833333333333,104.00000000000003
149,71.0,8,207.4,67.5,306.4032201745493,221.0,338.3499999999999,461.0999999999998
149,78.0,2,533.0,533.0,550.129075763134,727.5,805.3,844.2
149,79.0,9,203.1875,108.0,291.16644008768134,260.75,392.0,475.0
149,80.0,5,462.25,301.0,571.8930344541214,614.0,1216.0000000000002,1312.1
149,81.0,3,196.0,0.0,270.7027890510181,440.0,480.0,500.0
149,84.0,9,73.14839357429719,53.0,78.98324449316488,121.04166666666666,158.5,172.04666666666665
149,85.0,12,181.1197435897436,174.18333333333334,185.49832218590922,257.0,288.82,326.27333333333337
149,86.0,4,182.19537037037037,174.0,159.86213053115281,272.5,332.3499999999999,405.6000000000001
149,87.0,2,175.75,176.0,153.09338108923367,269.25,301.95,318.3
149,123.0,7,256.1923076923077,227.5,278.32700468776204,335.75,397.25,503.0
149,126.0,1,38.0,38.0,,38.0,38.0,38.0
149,128.0,1,158.0,158.0,,158.0,158.0,158.0
149,129.0,2,280.95033333333333,2.5,394.72646285972013,515.1291666666666,844.95,921.5
149,130.0,1,0.0,0.0,,0.0,0.0,0.0
149,131.0,3,133.5111111111111,134.53333333333333,30.013058886153267,148.76666666666665,154.46,157.30666666666667
149,162.0,4,42.42333333333333,0.0,202.5026776229007,1.0,1.0,8.550000000000018
149,164.0,1,149.9,149.9,31.254119728445406,160.95,165.37,167.58
149,165.0,1,204.75,204.75,,204.75,204.75,204.75
149,166.0,4,44.306060606060605,39.0,44.343164209618735,81.0,91.4,96.2
149,169.0,4,1.8257575757575757,0.0,4.0415299883168805,0.041666666666666664,5.041666666666667,10.0
149,170.0,1,124.0,124.0,175.36248173426378,186.0,210.8,223.20000000000002
149,172.0,3,184.06851851851854,140.0,134.66217206929252,207.0,292.59999999999997,346.20000000000005
149,173.0,9,361.4,189.0,461.0494208011247,389.5,577.5999999999988,1320.1000000000001
149,174.0,3,61.76428571428572,60.0,23.821676303416638,72.175,77.91499999999999,85.61000000000001
149,195.0,6,14.73913043478261,0.0,28.699409862960835,19.0,28.499999999999996,37.2
149,229.0,4,366.10952380952375,189.0,450.60751038203796,315.8833333333333,448.89999999999964,754.6000000000004
149,243.0,2,0.0,0.0,0.0,0.0,0.0,0.0
149,359.0,5,83.625,0.0,116.70712733774477,198.25,226.95000000000002,235.9
149,425.0,3,197.17000000000002,195.0,105.02234709283967,240.73333333333332,273.24,289.49333333333334
149,427.0,1,107.5,107.5,,107.5,107.5,107.5
149,460.0,1,337.0,337.0,,337.0,337.0,337.0
149,462.0,4,177.92333333333335,175.0,84.8091743595913,229.0,250.04666666666665,260.57
149,524.0,1,0.0,0.0,,0.0,0.0,0.0
149,689.0,1,0.0,0.0,0.0,0.0,0.0,0.0
149,755.0,0,55.0,57.0,49.01020301937138,94.5,103.6,108.4
149,790.0,2,0.0,0.0,0.0,0.0,0.0,0.0
150,2.0,0,36.87037037037037,36.0,36.578619635821155,43.5,47.75,55.0
150,3.0,1,88.95,88.95,,88.95,88.95,88.95
150,4.0,1,143.0,143.0,,143.0,143.0,143.0
150,6.0,1,711.0833333333333,417.0,535.5781857540087,1313.0,1388.6,1414.2
150,8.0,1,86.0,86.0,,86.0,86.0,86.0
150,9.0,1,45.0,45.0,,45.0,45.0,45.0
150,11.0,0,40.0,60.0,34.64101615137755,60.0,60.0,60.0
150,12.0,0,65.1025234741784,47.0,56.624818318099265,70.25,95.19999999999993,119.40000000000003
150,13.0,1,145.0,145.0,,145.0,145.0,145.0
150,16.0,2,2.5,2.5,3.5355339059327378,3.75,4.25,4.5
150,21.0,1,720.0,720.0,1018.2337649086285,1080.0,1224.0,1296.0
150,129.0,1,0.0,0.0,,0.0,0.0,0.0
150,755.0,0,93.675,93.675,78.24136533829149,121.3375,132.4025,137.935
830,2.0,0,52.975,50.0,39.09149701519358,69.75,71.325,78.54999999999997
830,4.0,1,480.0,480.0,452.54833995939043,640.0,704.0,736.0
830,6.0,3,593.098888888889,370.0,533.1747903661712,999.1666666666666,1280.0983333333334,1322.8066666666666
830,11.0,0,40.0,60.0,34.64101615137755,60.0,60.0,60.0
830,12.0,0,96.63875502008032,62.0,138.95583711653256,99.5,126.97833333333335,142.6
830,16.0,3,7.45,0.35,12.60188477966689,11.175,15.504999999999999,17.67
830,21.0,1,988.0,988.0,,988.0,988.0,988.0
830,129.0,1,120.0,120.0,,120.0,120.0,120.0
830,260.0,1,0.0,0.0,,0.0,0.0,0.0
830,755.0,0,34.0,34.0,,34.0,34.0,34.0
844,2.0,0,56.5540482342808,41.21666666666667,55.43197780333459,65.0,83.2999999999999,96.80000000000007
844,3.0,4,51.42730061349693,47.0,30.967163050979252,68.0,81.25,91.5
844,4.0,1,49.34444444444444,70.0,42.921897200138524,74.01666666666667,75.62333333333333,76.42666666666666
844,6.0,7,534.8874999999999,322.5,563.7796203054338,1105.25,1349.75,1397.0
844,8.0,2,714.6916666666667,714.6916666666667,967.7581258449287,1056.8458333333333,1193.7075,1262.1383333333333
844,9.0,2,70.4,57.0,54.58296437534334,123.0,125.0,126.0
844,10.0,2,68.5,68.5,95.45941546018392,102.25,115.75,122.5
844,11.0,0,120.0,30.0,165.40858502508266,240.0,315.0,330.0
844,12.0,0,80.11181752873563,69.0,56.58413894164993,93.0,113.0,126.90000000000009
844,16.0,1,0.0,0.0,,0.0,0.0,0.0
844,21.0,2,420.0,120.0,689.3475175845634,540.0,899.9999999999998,1080.0000000000002
844,25.0,1,410.0,410.0,,410.0,410.0,410.0
844,69.0,1,104.0,104.0,29.698484809834994,114.5,118.7,120.8
844,80.0,1,0.0,0.0,,0.0,0.0,0.0
844,85.0,1,1313.0,1313.0,,1313.0,1313.0,1313.0
844,86.0,1,120.0,120.0,,120.0,120.0,120.0
844,123.0,1,188.0,188.0,,188.0,188.0,188.0
844,129.0,1,384.0,384.0,543.0580079512685,576.0,652.8,691.2
844,260.0,1,130.0,130.0,,130.0,130.0,130.0
