service_id,state,created_at,service_schedule_date,city_code,city_name,department_code,department_name,location_resolution_status,start_address_id,start_address_point,end_address_id,end_address_point,labor_id,labor_type,labor_name,labor_category,schedule_date,payload_labor_schedule_date,labor_sequence,assigned_driver,actual_start,actual_end,shop_id,address_id,address_point,shop_address_id,shop_address_point,source_department_dir
391861,TO_BE_CONFIRMED,2026-01-27 08:47:56.024886-05:00,2026-02-24T13:00:00+00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved,186811,POINT (-74.0676022 4.6182478),28798,POINT (-74.08720430000001 4.6760977),495284,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-24 08:00:00-05:00,2026-02-24 08:00:00-05:00,1,11714,,,,,,,,25
392107,TO_BE_CONFIRMED,2026-01-27 12:06:29.830574-05:00,2026-02-25T14:00:00+00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved,186867,POINT (-74.14571839999999 4.6366725),2,POINT (-74.028923 4.704466),495534,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-25 09:00:00-05:00,2026-02-25 09:00:00-05:00,1,,,,,,,,,25
398197,TO_BE_CONFIRMED,2026-02-03 10:10:12.658428-05:00,2026-02-27T12:00:00+00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved,188061,POINT (-74.0231522 4.7378978),188062,POINT (-74.0457322 4.7525901),501831,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-27 07:00:00-05:00,2026-02-27 07:00:00-05:00,1,3214,,,,,,,,25
399422,TO_BE_CONFIRMED,2026-02-04 16:12:31.297741-05:00,2026-02-24T14:00:00+00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved,125253,POINT (-74.1188902 4.6992568),125253,POINT (-74.1188902 4.6992568),504180,3,Wash and Polish,WASH_AND_POLISH,2026-02-06 09:00:00-05:00,2026-02-06 09:00:00-05:00,1,,,,934,,,72261,POINT (-74.1089748 4.6597407),25
399422,TO_BE_CONFIRMED,2026-02-04 16:12:31.297741-05:00,2026-02-24T14:00:00+00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved,125253,POINT (-74.1188902 4.6992568),125253,POINT (-74.1188902 4.6992568),503120,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-24 09:00:00-05:00,2026-02-24 09:00:00-05:00,2,,,,,,,,,25
399422,TO_BE_CONFIRMED,2026-02-04 16:12:31.297741-05:00,2026-02-24T14:00:00+00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved,125253,POINT (-74.1188902 4.6992568),125253,POINT (-74.1188902 4.6992568),503121,4,Tecnomecanica,SAFETI_INSPECTION,2026-02-24 12:30:00-05:00,2026-02-24 12:30:00-05:00,3,,,,4375,,,178711,POINT (-74.1554709 4.6832376),25
399422,TO_BE_CONFIRMED,2026-02-04 16:12:31.297741-05:00,2026-02-24T14:00:00+00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved,125253,POINT (-74.1188902 4.6992568),125253,POINT (-74.1188902 4.6992568),503122,2,Alfred Transport,VEHICLE_TRANSPORTATION,2026-02-24 13:00:00-05:00,2026-02-24 13:00:00-05:00,4,,,,,,,,,25
403022,TO_BE_CONFIRMED,2026-02-09 11:34:38.728729-05:00,2026-02-23T18:30:00+00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved,186670,POINT (-74.0527477 4.6773473),120432,POINT (-74.02471419999999 4.7281137),506837,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-23 13:30:00-05:00,2026-02-23 13:30:00-05:00,1,2331,,,,,,,,25
403356,TO_BE_CONFIRMED,2026-02-09 15:32:23.151669-05:00,2026-02-19T12:00:00+00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved,189083,POINT (-74.0515964 4.6595701),17793,POINT (-74.05576889999999 4.712595600000001),507190,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-19 07:00:00-05:00,2026-02-19 07:00:00-05:00,1,,,,,,,,,25
403357,TO_BE_CONFIRMED,2026-02-09 15:33:10.953819-05:00,2026-02-19T17:30:00+00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved,17793,POINT (-74.05576889999999 4.712595600000001),189083,POINT (-74.0515964 4.6595701),507191,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-19 12:30:00-05:00,2026-02-19 12:30:00-05:00,1,,,,,,,,,25
404322,TO_BE_CONFIRMED,2026-02-10 16:12:37.986248-05:00,2026-02-19T13:00:00+00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved,100385,POINT (-74.05466 4.674519399999999),15,POINT (-74.065413 4.759951),508222,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-19 08:00:00-05:00,2026-02-19 08:00:00-05:00,1,14671,,,,,,,,25
404649,TO_BE_CONFIRMED,2026-02-11 08:07:47.155086-05:00,2026-02-24T13:30:00+00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved,189399,POINT (-74.08106289999999 4.717616),17793,POINT (-74.05576889999999 4.712595600000001),508560,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-24 08:30:00-05:00,2026-02-24 08:30:00-05:00,1,2036,,,,,,,,25
404969,TO_BE_CONFIRMED,2026-02-11 12:03:01.620109-05:00,2026-02-23T13:00:00+00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved,179165,POINT (-74.0541428 4.6981932),17793,POINT (-74.05576889999999 4.712595600000001),508895,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-23 08:00:00-05:00,2026-02-23 08:00:00-05:00,1,,,,,,,,,25
405244,TO_BE_CONFIRMED,2026-02-11 16:35:38.227100-05:00,2026-02-25T16:30:00+00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved,189471,POINT (-74.04521629999999 4.6660009),44809,POINT (-74.024388 4.7303983),509186,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-25 11:30:00-05:00,2026-02-25 11:30:00-05:00,1,,,,,,,,,25
405568,TO_BE_CONFIRMED,2026-02-12 09:39:12.290131-05:00,2026-02-20T13:00:00+00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved,189523,POINT (-74.0640645 4.7358742),17793,POINT (-74.05576889999999 4.712595600000001),509516,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-20 08:00:00-05:00,2026-02-20 08:00:00-05:00,1,10500,,,,,,,,25
405711,TO_BE_CONFIRMED,2026-02-12 11:09:07.729100-05:00,2026-02-19T12:00:00+00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved,189553,POINT (-74.01087389999999 4.6889048),2,POINT (-74.028923 4.704466),509661,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-19 07:00:00-05:00,2026-02-19 07:00:00-05:00,1,,,,,,,,,25
405800,TO_BE_CONFIRMED,2026-02-12 12:40:27.844343-05:00,2026-02-19T14:00:00+00:00,149,BOGOTA D.C.,25,CUNDINAMARCA,resolved,189589,POINT (-74.1311794 4.6189715),131240,POINT (-74.11450529999999 4.6717962),509753,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-19 09:00:00-05:00,2026-02-19 09:00:00-05:00,1,69861,,,,,,,,25
399332,REQUESTED,2026-02-04 14:52:00.626317-05:00,2026-02-19T14:30:00+00:00,1,MEDELLIN,5,ANTIOQUIA,resolved,188305,POINT (-75.5724501 6.1627934),117281,POINT (-75.56979539999999 6.2198631),503021,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-19 09:30:00-05:00,2026-02-19 09:30:00-05:00,1,5455,,,,,,,,5
399335,REQUESTED,2026-02-04 14:53:27.276355-05:00,2026-02-19T18:30:00+00:00,1,MEDELLIN,5,ANTIOQUIA,resolved,117281,POINT (-75.56979539999999 6.2198631),188305,POINT (-75.5724501 6.1627934),503024,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-19 13:30:00-05:00,2026-02-19 13:30:00-05:00,1,5455,,,,,,,,5
399668,REQUESTED,2026-02-05 08:38:31.384986-05:00,2026-02-24T21:00:00+00:00,1,MEDELLIN,5,ANTIOQUIA,resolved,188384,POINT (-75.5914068 6.2315137),102162,POINT (-75.564082 6.2082589),503383,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-24 16:00:00-05:00,2026-02-24 16:00:00-05:00,1,4555,,,,,,,,5
399777,REQUESTED,2026-02-05 10:33:40.722587-05:00,2026-02-19T12:00:00+00:00,1,MEDELLIN,5,ANTIOQUIA,resolved,188411,POINT (-75.5731243 6.184122800000001),117281,POINT (-75.56979539999999 6.2198631),503494,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-19 07:00:00-05:00,2026-02-19 07:00:00-05:00,1,5455,,,,,,,,5
400326,REQUESTED,2026-02-06 08:22:37.135256-05:00,2026-02-19T16:00:00+00:00,1,MEDELLIN,5,ANTIOQUIA,resolved,130163,POINT (-75.56719989999999 6.188821),4852,POINT (-75.56991479999999 6.2276503),504072,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-19 11:00:00-05:00,2026-02-19 11:00:00-05:00,1,5455,,,,,,,,5
400357,REQUESTED,2026-02-06 08:40:37.945224-05:00,2026-02-19T21:00:00+00:00,1,MEDELLIN,5,ANTIOQUIA,resolved,4852,POINT (-75.56991479999999 6.2276503),130163,POINT (-75.56719989999999 6.188821),504105,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-19 16:00:00-05:00,2026-02-19 16:00:00-05:00,1,5455,,,,,,,,5
402879,REQUESTED,2026-02-09 09:45:16.262918-05:00,2026-02-26T12:00:00+00:00,1,MEDELLIN,5,ANTIOQUIA,resolved,96914,POINT (-75.5689336 6.214603899999999),4852,POINT (-75.56991479999999 6.2276503),506687,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-26 07:00:00-05:00,2026-02-26 07:00:00-05:00,1,4555,,,,,,,,5
402881,REQUESTED,2026-02-09 09:45:43.890920-05:00,2026-02-26T17:30:00+00:00,1,MEDELLIN,5,ANTIOQUIA,resolved,4852,POINT (-75.56991479999999 6.2276503),96914,POINT (-75.5689336 6.214603899999999),506689,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-26 12:30:00-05:00,2026-02-26 12:30:00-05:00,1,4555,,,,,,,,5
404682,REQUESTED,2026-02-11 08:42:42.521581-05:00,2026-02-19T14:30:00+00:00,1,MEDELLIN,5,ANTIOQUIA,resolved,189354,POINT (-75.5860708 6.1515257),4870,POINT (-75.56977909999999 6.2277346),508596,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-19 09:30:00-05:00,2026-02-19 09:30:00-05:00,1,4555,,,,,,,,5
404685,REQUESTED,2026-02-11 08:44:43.828644-05:00,2026-02-26T12:00:00+00:00,1,MEDELLIN,5,ANTIOQUIA,resolved,189355,POINT (-75.57970399999999 6.276844199999999),132942,POINT (-75.5856104 6.183108199999999),508599,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-26 07:00:00-05:00,2026-02-26 07:00:00-05:00,1,5455,,,,,,,,5
404812,REQUESTED,2026-02-11 10:12:40.026297-05:00,2026-02-19T14:00:00+00:00,1,MEDELLIN,5,ANTIOQUIA,resolved,138933,POINT (-75.5617056 6.190326999999999),4852,POINT (-75.56991479999999 6.2276503),508732,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-19 09:00:00-05:00,2026-02-19 09:00:00-05:00,1,20111,,,,,,,,5
404816,REQUESTED,2026-02-11 10:15:46.813975-05:00,2026-02-19T19:30:00+00:00,1,MEDELLIN,5,ANTIOQUIA,resolved,4852,POINT (-75.56991479999999 6.2276503),138933,POINT (-75.5617056 6.190326999999999),508737,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-19 14:30:00-05:00,2026-02-19 14:30:00-05:00,1,20111,,,,,,,,5
404915,REQUESTED,2026-02-11 11:32:32.987356-05:00,2026-02-24T13:00:00+00:00,1,MEDELLIN,5,ANTIOQUIA,resolved,189409,POINT (-75.5699944 6.1985059),189410,POINT (-75.5859795 6.183369099999999),508841,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-24 08:00:00-05:00,2026-02-24 08:00:00-05:00,1,4554,,,,,,,,5
404917,REQUESTED,2026-02-11 11:33:07.144952-05:00,2026-02-24T20:00:00+00:00,1,MEDELLIN,5,ANTIOQUIA,resolved,189410,POINT (-75.5859795 6.183369099999999),189409,POINT (-75.5699944 6.1985059),508843,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-24 15:00:00-05:00,2026-02-24 15:00:00-05:00,1,4554,,,,,,,,5
397007,TO_BE_CONFIRMED,2026-01-31 21:52:36.806281-05:00,2026-02-20T17:00:00+00:00,1004,CALI,76,VALLE DEL CAUCA,resolved,183705,POINT (-76.5215896 3.4536185),183705,POINT (-76.5215896 3.4536185),500567,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-20 12:00:00-05:00,2026-02-20 12:00:00-05:00,1,,,,,,,,,76
397007,TO_BE_CONFIRMED,2026-01-31 21:52:36.806281-05:00,2026-02-20T17:00:00+00:00,1004,CALI,76,VALLE DEL CAUCA,resolved,183705,POINT (-76.5215896 3.4536185),183705,POINT (-76.5215896 3.4536185),500568,3,Wash and Polish,WASH_AND_POLISH,2026-02-20 12:30:00-05:00,2026-02-20 12:30:00-05:00,2,,,,3539,,,114928,POINT (-76.5313527 3.4197604),76
397007,TO_BE_CONFIRMED,2026-01-31 21:52:36.806281-05:00,2026-02-20T17:00:00+00:00,1004,CALI,76,VALLE DEL CAUCA,resolved,183705,POINT (-76.5215896 3.4536185),183705,POINT (-76.5215896 3.4536185),500569,2,Alfred Transport,VEHICLE_TRANSPORTATION,2026-02-20 13:00:00-05:00,2026-02-20 13:00:00-05:00,3,,,,,,,,,76
402549,TO_BE_CONFIRMED,2026-02-08 16:19:30.730313-05:00,2026-02-21T17:00:00+00:00,1004,CALI,76,VALLE DEL CAUCA,resolved,166327,POINT (-76.4960699 3.4665607),166327,POINT (-76.4960699 3.4665607),506329,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-21 12:00:00-05:00,2026-02-21 12:00:00-05:00,1,,,,,,,,,76
402549,TO_BE_CONFIRMED,2026-02-08 16:19:30.730313-05:00,2026-02-21T17:00:00+00:00,1004,CALI,76,VALLE DEL CAUCA,resolved,166327,POINT (-76.4960699 3.4665607),166327,POINT (-76.4960699 3.4665607),506330,3,Wash and Polish,WASH_AND_POLISH,2026-02-21 12:30:00-05:00,2026-02-21 12:30:00-05:00,2,,,,4402,,,187121,POINT (-76.499544 3.441305),76
402549,TO_BE_CONFIRMED,2026-02-08 16:19:30.730313-05:00,2026-02-21T17:00:00+00:00,1004,CALI,76,VALLE DEL CAUCA,resolved,166327,POINT (-76.4960699 3.4665607),166327,POINT (-76.4960699 3.4665607),506331,2,Alfred Transport,VEHICLE_TRANSPORTATION,2026-02-21 13:00:00-05:00,2026-02-21 13:00:00-05:00,3,,,,,,,,,76
405263,TO_BE_CONFIRMED,2026-02-11 17:01:29.750112-05:00,2026-02-20T17:00:00+00:00,1004,CALI,76,VALLE DEL CAUCA,resolved,145591,POINT (-76.30498659999999 3.5229834),145591,POINT (-76.30498659999999 3.5229834),509205,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-20 12:00:00-05:00,2026-02-20 12:00:00-05:00,1,,,,,,,,,76
405263,TO_BE_CONFIRMED,2026-02-11 17:01:29.750112-05:00,2026-02-20T17:00:00+00:00,1004,CALI,76,VALLE DEL CAUCA,resolved,145591,POINT (-76.30498659999999 3.5229834),145591,POINT (-76.30498659999999 3.5229834),509206,3,Wash and Polish,WASH_AND_POLISH,2026-02-20 12:30:00-05:00,2026-02-20 12:30:00-05:00,2,,,,4157,,,127839,POINT (-76.31507669999999 3.5385042),76
405263,TO_BE_CONFIRMED,2026-02-11 17:01:29.750112-05:00,2026-02-20T17:00:00+00:00,1004,CALI,76,VALLE DEL CAUCA,resolved,145591,POINT (-76.30498659999999 3.5229834),145591,POINT (-76.30498659999999 3.5229834),509207,2,Alfred Transport,VEHICLE_TRANSPORTATION,2026-02-20 13:00:00-05:00,2026-02-20 13:00:00-05:00,3,,,,,,,,,76
397322,TO_BE_CONFIRMED,2026-02-01 19:07:43.899074-05:00,2026-02-20T20:00:00+00:00,126,BARRANQUILLA,8,ATLANTICO,resolved,93748,POINT (-74.80476019999999 10.9994735),93748,POINT (-74.80476019999999 10.9994735),500894,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-20 15:00:00-05:00,2026-02-20 15:00:00-05:00,1,,,,,,,,,8
397322,TO_BE_CONFIRMED,2026-02-01 19:07:43.899074-05:00,2026-02-20T20:00:00+00:00,126,BARRANQUILLA,8,ATLANTICO,resolved,93748,POINT (-74.80476019999999 10.9994735),93748,POINT (-74.80476019999999 10.9994735),500895,3,Wash and Polish,WASH_AND_POLISH,2026-02-20 15:30:00-05:00,2026-02-20 15:30:00-05:00,2,,,,1856,,,101855,POINT (-74.7995734 10.9959409),8
397322,TO_BE_CONFIRMED,2026-02-01 19:07:43.899074-05:00,2026-02-20T20:00:00+00:00,126,BARRANQUILLA,8,ATLANTICO,resolved,93748,POINT (-74.80476019999999 10.9994735),93748,POINT (-74.80476019999999 10.9994735),500896,2,Alfred Transport,VEHICLE_TRANSPORTATION,2026-02-20 16:00:00-05:00,2026-02-20 16:00:00-05:00,3,,,,,,,,,8
405142,REQUESTED,2026-02-11 14:36:26.001559-05:00,2026-02-19T17:00:00+00:00,126,BARRANQUILLA,8,ATLANTICO,resolved,134073,POINT (-74.8076452 10.9991865),68237,POINT (-74.7997145 11.0215868),509076,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-19 12:00:00-05:00,2026-02-19 12:00:00-05:00,1,71852,,,,,,,,8
